Tempo, CFL maximo, Elemento de CFL maximo, Pecle maximo, Elemento de Pecle maximo,
 0.1000E+000 0.1333E+001   590 0.9375E-002   590
 0.5010E+002 0.1343E+001   590 0.9440E-002   590
 0.5010E+002 0.1343E+001   590 0.9440E-002   590
 0.5010E+002 0.1343E+001   590 0.9440E-002   590
 0.5010E+002 0.1343E+001   590 0.9440E-002   590
 0.1001E+003 0.1352E+001   590 0.9503E-002   590
 0.1001E+003 0.1352E+001   590 0.9504E-002   590
 0.1001E+003 0.1352E+001   590 0.9504E-002   590
 0.1001E+003 0.1352E+001   590 0.9504E-002   590
 0.1501E+003 0.1360E+001   590 0.9566E-002   590
 0.1501E+003 0.1360E+001   590 0.9566E-002   590
 0.1501E+003 0.1360E+001   590 0.9566E-002   590
 0.1501E+003 0.1360E+001   590 0.9566E-002   590
 0.2001E+003 0.1369E+001   590 0.9626E-002   590
 0.2001E+003 0.1369E+001   590 0.9626E-002   590
 0.2001E+003 0.1369E+001   590 0.9626E-002   590
 0.2001E+003 0.1369E+001   590 0.9626E-002   590
 0.2501E+003 0.1377E+001   590 0.9685E-002   590
 0.2501E+003 0.1377E+001   590 0.9685E-002   590
 0.2501E+003 0.1377E+001   590 0.9685E-002   590
 0.2501E+003 0.1377E+001   590 0.9685E-002   590
 0.3001E+003 0.1386E+001   590 0.9743E-002   590
 0.3001E+003 0.1386E+001   590 0.9743E-002   590
 0.3001E+003 0.1386E+001   590 0.9743E-002   590
 0.3001E+003 0.1386E+001   590 0.9743E-002   590
 0.3501E+003 0.1394E+001   590 0.9800E-002   590
 0.3501E+003 0.1394E+001   590 0.9800E-002   590
 0.3501E+003 0.1394E+001   590 0.9800E-002   590
 0.3501E+003 0.1394E+001   590 0.9800E-002   590
 0.4001E+003 0.1402E+001   590 0.9855E-002   590
 0.4001E+003 0.1402E+001   590 0.9855E-002   590
 0.4001E+003 0.1402E+001   590 0.9855E-002   590
 0.4001E+003 0.1402E+001   590 0.9855E-002   590
 0.4501E+003 0.1409E+001   590 0.9909E-002   590
 0.4501E+003 0.1409E+001   590 0.9909E-002   590
 0.4501E+003 0.1409E+001   590 0.9909E-002   590
 0.4501E+003 0.1409E+001   590 0.9909E-002   590
 0.5001E+003 0.1417E+001   590 0.9961E-002   590
 0.5001E+003 0.1417E+001   590 0.9961E-002   590
 0.5001E+003 0.1417E+001   590 0.9961E-002   590
 0.5001E+003 0.1417E+001   590 0.9961E-002   590
 0.5501E+003 0.1424E+001   590 0.1001E-001   590
 0.5501E+003 0.1424E+001   590 0.1001E-001   590
 0.5501E+003 0.1424E+001   590 0.1001E-001   590
 0.5501E+003 0.1424E+001   590 0.1001E-001   590
 0.6001E+003 0.1431E+001   590 0.1006E-001   590
 0.6001E+003 0.1431E+001   590 0.1006E-001   590
 0.6001E+003 0.1431E+001   590 0.1006E-001   590
 0.6001E+003 0.1431E+001   590 0.1006E-001   590
 0.6501E+003 0.1438E+001   590 0.1011E-001   590
 0.6501E+003 0.1438E+001   590 0.1011E-001   590
 0.6501E+003 0.1438E+001   590 0.1011E-001   590
 0.6501E+003 0.1438E+001   590 0.1011E-001   590
 0.7001E+003 0.1445E+001   590 0.1016E-001   590
 0.7001E+003 0.1445E+001   590 0.1016E-001   590
 0.7001E+003 0.1445E+001   590 0.1016E-001   590
 0.7001E+003 0.1445E+001   590 0.1016E-001   590
 0.7501E+003 0.1452E+001   590 0.1021E-001   590
 0.7501E+003 0.1452E+001   590 0.1021E-001   590
 0.7501E+003 0.1452E+001   590 0.1021E-001   590
 0.7501E+003 0.1452E+001   590 0.1021E-001   590
 0.8001E+003 0.1458E+001   590 0.1025E-001   590
 0.8001E+003 0.1458E+001   590 0.1025E-001   590
 0.8001E+003 0.1458E+001   590 0.1025E-001   590
 0.8001E+003 0.1458E+001   590 0.1025E-001   590
 0.8501E+003 0.1464E+001   590 0.1030E-001   590
 0.8501E+003 0.1464E+001   590 0.1030E-001   590
 0.8501E+003 0.1464E+001   590 0.1030E-001   590
 0.8501E+003 0.1464E+001   590 0.1030E-001   590
 0.9001E+003 0.1471E+001   590 0.1034E-001   590
 0.9001E+003 0.1471E+001   590 0.1034E-001   590
 0.9001E+003 0.1471E+001   590 0.1034E-001   590
 0.9001E+003 0.1471E+001   590 0.1034E-001   590
 0.9501E+003 0.1477E+001   590 0.1038E-001   590
 0.9501E+003 0.1477E+001   590 0.1038E-001   590
 0.9501E+003 0.1477E+001   590 0.1038E-001   590
 0.9501E+003 0.1477E+001   590 0.1038E-001   590
 0.1000E+004 0.1483E+001   590 0.1042E-001   590
 0.1000E+004 0.1483E+001   590 0.1042E-001   590
 0.1000E+004 0.1483E+001   590 0.1042E-001   590
 0.1000E+004 0.1483E+001   590 0.1042E-001   590
 0.1050E+004 0.1488E+001   590 0.1047E-001   590
 0.1050E+004 0.1488E+001   590 0.1047E-001   590
